Game Date,Game ID,Game Time,Arena,Arena City,Home Team Abbreviation,Home Conference,Home Division,Visiting Team Abbreviation,Visiting Conference,Visiting Division,Divisional Game,Conference Game
2025-01-07,0022400502,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,PHX,West,Pacific,No,No
2025-01-07,0022400503,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,HOU,West,Southwest,No,No
2025-01-07,0022400504,7:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,LAL,West,Pacific,No,Yes
2025-01-07,0022400505,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,MIN,West,Northwest,No,Yes
2025-01-07,0022400506,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,ATL,East,Southeast,No,No
2025-01-07,0022400508,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,MIA,East,Southeast,No,No
2025-01-08,0022400515,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,LAC,West,Pacific,No,Yes
2025-01-08,0022400516,9:30 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,SAS,West,Southwest,No,No
2025-01-08,0022400514,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,POR,West,Northwest,No,Yes
2025-01-08,0022400513,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,DET,East,Central,No,Yes
2025-01-08,0022400510,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,CHI,East,Central,Yes,Yes
2025-01-08,0022400511,7:00 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,TOR,East,Atlantic,Yes,Yes
2025-01-08,0022400509,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,OKC,West,Northwest,No,No
2025-01-08,0022400512,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,WAS,East,Southeast,No,Yes
2025-01-09,0022400517,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,TOR,East,Atlantic,No,Yes
2025-01-09,0022400518,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,GSW,West,Pacific,No,No
2025-01-09,0022400519,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,MIN,West,Northwest,No,No
2025-01-09,0022400520,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,HOU,West,Southwest,Yes,Yes
2025-01-09,0022400521,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,POR,West,Northwest,No,Yes
2025-01-09,0022400522,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,ATL,East,Southeast,No,No
2025-01-09,0022400523,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,MIA,East,Southeast,No,No
2025-01-09,0022400524,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,CHA,East,Southeast,No,No
2025-01-10,0022400531,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,BKN,East,Atlantic,No,No
2025-01-10,0022400530,8:00 pm ET,United Center,Chicago,CHI,East,Central,WAS,East,Southeast,No,Yes
2025-01-10,0022400529,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,OKC,West,Northwest,No,No
2025-01-10,0022400528,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,SAC,West,Pacific,No,No
2025-01-10,0022400526,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,MIL,East,Central,No,Yes
2025-01-10,0022400525,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,GSW,West,Pacific,No,No
2025-01-10,0022400527,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,NOP,West,Southwest,No,No
2025-01-11,0022400532,3:00 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,HOU,West,Southwest,No,No
2025-01-11,0022400533,5:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,UTA,West,Northwest,No,Yes
2025-01-11,0022400534,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,TOR,East,Atlantic,No,Yes
2025-01-11,0022400535,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,MEM,West,Southwest,No,Yes
2025-01-11,0022400536,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,MIA,East,Southeast,No,No
2025-01-11,0022400537,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,SAS,West,Southwest,No,Yes
2025-01-11,0022400538,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,CHA,East,Southeast,No,No
2025-01-12,0022400546,8:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,BKN,East,Atlantic,No,No
2025-01-12,0022400547,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,CHA,East,Southeast,No,No
2025-01-12,0022400545,6:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,OKC,West,Northwest,No,No
2025-01-12,0022400543,6:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,IND,East,Central,Yes,Yes
2025-01-12,0022400544,6:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,PHI,East,Atlantic,No,Yes
2025-01-12,0022400541,3:30 pm ET,United Center,Chicago,CHI,East,Central,SAC,West,Pacific,No,No
2025-01-12,0022400540,3:00 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,DEN,West,Northwest,No,Yes
2025-01-12,0022400539,3:00 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,MIL,East,Central,No,Yes
2025-01-12,0022400542,6:00 pm ET,TD Garden,Boston,BOS,East,Atlantic,NOP,West,Southwest,No,No
2025-01-13,0022400553,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,MIA,East,Southeast,No,No
2025-01-13,0022400551,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,MEM,West,Southwest,Yes,Yes
2025-01-13,0022400550,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,GSW,West,Pacific,No,No
2025-01-13,0022400552,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,SAS,West,Southwest,No,Yes
2025-01-13,0022400548,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,MIN,West,Northwest,No,No
2025-01-13,0022400549,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,DET,East,Central,No,Yes
2025-01-14,0022400560,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,BKN,East,Atlantic,No,No
2025-01-14,0022400554,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,CLE,East,Central,Yes,Yes
2025-01-14,0022400555,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,OKC,West,Northwest,No,No
2025-01-14,0022400556,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,PHX,West,Pacific,No,No
2025-01-14,0022400557,8:00 pm ET,United Center,Chicago,CHI,East,Central,NOP,West,Southwest,No,No
2025-01-14,0022400558,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,SAC,West,Pacific,No,No
2025-01-14,0022400559,9:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,DEN,West,Northwest,No,Yes
2025-01-15,0022400568,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,HOU,West,Southwest,No,Yes
2025-01-15,0022400569,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,CHA,East,Southeast,No,No
2025-01-15,0022400571,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,BKN,East,Atlantic,No,No
2025-01-15,0022400567,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,MEM,West,Southwest,Yes,Yes
2025-01-15,0022400570,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,MIA,East,Southeast,No,No
2025-01-15,0022400566,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,DAL,West,Southwest,Yes,Yes
2025-01-15,0022400564,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,ORL,East,Southeast,No,Yes
2025-01-15,0022400563,8:00 pm ET,United Center,Chicago,CHI,East,Central,ATL,East,Southeast,No,Yes
2025-01-15,0022400562,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,BOS,East,Atlantic,Yes,Yes
2025-01-15,0022400561,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,NYK,East,Atlantic,Yes,Yes
2025-01-15,0022400565,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,GSW,West,Pacific,No,Yes
2025-01-16,0022400572,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,IND,East,Central,Yes,Yes
2025-01-16,0022400573,7:30 pm ET,Capital One Arena,Washington,WAS,East,Southeast,PHX,West,Pacific,No,No
2025-01-16,0022400574,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,CLE,East,Central,No,No
2025-01-16,0022400575,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,LAC,West,Pacific,No,Yes
2025-01-16,0022400576,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,HOU,West,Southwest,No,Yes
2025-01-17,0022400584,9:30 pm ET,United Center,Chicago,CHI,East,Central,CHA,East,Southeast,No,Yes
2025-01-17,0022400585,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,BKN,East,Atlantic,No,No
2025-01-17,0022400583,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,OKC,West,Northwest,No,Yes
2025-01-17,0022400581,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,UTA,West,Northwest,No,Yes
2025-01-17,0022400582,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,MEM,West,Southwest,Yes,Yes
2025-01-17,0022400579,8:00 pm ET,Kaseya Center,Miami,MIA,East,Southeast,DEN,West,Northwest,No,No
2025-01-17,0022400578,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,MIN,West,Northwest,No,No
2025-01-17,0022400577,7:00 pm ET,TD Garden,Boston,BOS,East,Atlantic,ORL,East,Southeast,No,Yes
2025-01-17,0022400580,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,TOR,East,Atlantic,No,Yes
2025-01-18,0022400591,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,HOU,West,Southwest,No,Yes
2025-01-18,0022400590,9:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,CLE,East,Central,No,No
2025-01-18,0022400588,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,PHI,East,Atlantic,No,Yes
2025-01-18,0022400589,8:30 pm ET,Chase Center,San Francisco,GSW,West,Pacific,WAS,East,Southeast,No,No
2025-01-18,0022400586,5:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,PHX,West,Pacific,No,No
2025-01-18,0022400587,7:00 pm ET,TD Garden,Boston,BOS,East,Atlantic,ATL,East,Southeast,No,Yes
2025-01-19,0022400597,9:00 pm ET,Moda Center,Portland,POR,West,Northwest,CHI,East,Central,No,No
2025-01-19,0022400592,3:00 pm ET,Kaseya Center,Miami,MIA,East,Southeast,SAS,West,Southwest,No,No
2025-01-19,0022400593,6:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,DEN,West,Northwest,No,No
2025-01-19,0022400594,7:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,PHI,East,Atlantic,No,Yes
2025-01-19,0022400595,7:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,BKN,East,Atlantic,No,No
2025-01-19,0022400596,9:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,LAL,West,Pacific,Yes,Yes
2025-01-19,0022400598,9:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,WAS,East,Southeast,No,No
2025-01-20,0022400604,5:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,BOS,East,Atlantic,No,No
2025-01-20,0022400605,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,UTA,West,Northwest,No,Yes
2025-01-20,0022400603,3:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,PHX,West,Pacific,No,No
2025-01-20,0022400602,3:00 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,ATL,East,Southeast,No,Yes
2025-01-20,0022400599,12:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,DAL,West,Southwest,No,No
2025-01-20,0022400600,2:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,DET,East,Central,No,No
2025-01-20,0022400601,2:30 pm ET,FedExForum,Memphis,MEM,West,Southwest,MIN,West,Northwest,No,Yes
2025-01-21,0022400606,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,NYK,East,Atlantic,Yes,Yes
2025-01-21,0022400607,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,POR,West,Northwest,No,No
2025-01-21,0022400608,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,ORL,East,Southeast,No,Yes
2025-01-21,0022400609,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,PHI,East,Atlantic,No,No
2025-01-21,0022400610,10:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,WAS,East,Southeast,No,No
2025-01-21,0022400611,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,CHI,East,Central,No,No
2025-01-22,0022400620,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,BOS,East,Atlantic,No,No
2025-01-22,0022400619,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,GSW,West,Pacific,Yes,Yes
2025-01-22,0022400618,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,UTA,West,Northwest,Yes,Yes
2025-01-22,0022400617,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,MIL,East,Central,No,No
2025-01-22,0022400616,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,CHA,East,Southeast,No,No
2025-01-22,0022400614,7:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,MIN,West,Northwest,No,Yes
2025-01-22,0022400613,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,PHX,West,Pacific,No,No
2025-01-22,0022400612,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,DET,East,Central,No,Yes
2025-01-22,0022400615,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,CLE,East,Central,No,No
2025-01-23,0022400626,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,SAC,West,Pacific,No,Yes
2025-01-23,0022400629,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,BOS,East,Atlantic,No,No
2025-01-23,0022400628,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,CHI,East,Central,No,No
2025-01-23,0022400627,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,WAS,East,Southeast,No,No
2025-01-23,0022400625,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,DAL,West,Southwest,No,Yes
2025-01-23,0022400621,2:00 pm ET,Accor Arena,Paris,IND,East,Central,SAS,West,Southwest,No,No
2025-01-23,0022400623,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,TOR,East,Atlantic,No,Yes
2025-01-23,0022400622,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,POR,West,Northwest,No,No
2025-01-23,0022400624,7:30 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,MIA,East,Southeast,No,Yes
2025-01-24,0022400630,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,POR,West,Northwest,No,No
2025-01-24,0022400631,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,CLE,East,Central,No,Yes
2025-01-24,0022400632,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,NOP,West,Southwest,Yes,Yes
2025-01-25,0022400646,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,MIL,East,Central,No,No
2025-01-25,0022400640,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,HOU,West,Southwest,No,No
2025-01-25,0022400644,8:30 pm ET,Chase Center,San Francisco,GSW,West,Pacific,LAL,West,Pacific,Yes,Yes
2025-01-25,0022400643,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,UTA,West,Northwest,No,Yes
2025-01-25,0022400642,8:00 pm ET,United Center,Chicago,CHI,East,Central,PHI,East,Atlantic,No,Yes
2025-01-25,0022400641,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,SAC,West,Pacific,No,No
2025-01-25,0022400645,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,WAS,East,Southeast,No,No
2025-01-25,0022400638,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,DET,East,Central,No,Yes
2025-01-25,0022400637,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,NOP,West,Southwest,No,No
2025-01-25,0022400636,6:00 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,MIA,East,Southeast,No,Yes
2025-01-25,0022400635,5:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,BOS,East,Atlantic,No,No
2025-01-25,0022400634,3:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,DEN,West,Northwest,Yes,Yes
2025-01-25,0022400633,12:00 pm ET,Accor Arena,Paris,SAS,West,Southwest,IND,East,Central,No,No
2025-01-25,0022400639,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,TOR,East,Atlantic,No,Yes
2025-01-26,0022400647,6:00 pm ET,Moda Center,Portland,POR,West,Northwest,OKC,West,Northwest,Yes,Yes
2025-01-27,0022400659,9:30 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,LAC,West,Pacific,Yes,Yes
2025-01-27,0022400658,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,MIL,East,Central,No,No
2025-01-27,0022400656,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,ATL,East,Southeast,No,No
2025-01-27,0022400655,8:00 pm ET,United Center,Chicago,CHI,East,Central,DEN,West,Northwest,No,No
2025-01-27,0022400654,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,NOP,West,Southwest,No,No
2025-01-27,0022400653,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,MEM,West,Southwest,No,No
2025-01-27,0022400657,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,WAS,East,Southeast,No,No
2025-01-27,0022400651,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,SAC,West,Pacific,No,No
2025-01-27,0022400650,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,HOU,West,Southwest,No,No
2025-01-27,0022400649,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,DET,East,Central,Yes,Yes
2025-01-27,0022400648,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,LAL,West,Pacific,No,No
2025-01-27,0022400652,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,ORL,East,Southeast,Yes,Yes
2025-01-28,0022400660,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,LAL,West,Pacific,No,No
2025-01-28,0022400661,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,UTA,West,Northwest,No,Yes
2025-01-28,0022400662,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,MIL,East,Central,No,No
2025-01-29,0022400672,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,MIN,West,Northwest,No,Yes
2025-01-29,0022400671,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,LAC,West,Pacific,No,Yes
2025-01-29,0022400670,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,DAL,West,Southwest,Yes,Yes
2025-01-29,0022400669,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,SAC,West,Pacific,No,No
2025-01-29,0022400668,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,DEN,West,Northwest,No,No
2025-01-29,0022400664,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,DET,East,Central,Yes,Yes
2025-01-29,0022400666,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,CHI,East,Central,No,Yes
2025-01-29,0022400665,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,TOR,East,Atlantic,No,Yes
2025-01-29,0022400663,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,BKN,East,Atlantic,No,Yes
2025-01-29,0022400673,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,OKC,West,Northwest,No,Yes
2025-01-29,0022400667,7:30 pm ET,Kaseya Center,Miami,MIA,East,Southeast,CLE,East,Central,No,Yes
2025-01-30,0022400677,10:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,MIN,West,Northwest,Yes,Yes
2025-01-30,0022400676,7:30 pm ET,FedExForum,Memphis,MEM,West,Southwest,HOU,West,Southwest,Yes,Yes
2025-01-30,0022400678,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,ORL,East,Southeast,No,No
2025-01-30,0022400674,7:00 pm ET,Capital One Arena,Washington,WAS,East,Southeast,LAL,West,Pacific,No,No
2025-01-30,0022400675,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,ATL,East,Southeast,No,Yes
2025-01-31,0022400679,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,LAC,West,Pacific,No,No
2025-01-31,0022400680,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,DAL,West,Southwest,No,No
2025-01-31,0022400681,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,DEN,West,Northwest,No,No
2025-01-31,0022400682,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,CHI,East,Central,No,Yes
2025-01-31,0022400683,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,BOS,East,Atlantic,No,No
2025-01-31,0022400684,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,MIL,East,Central,No,No
2025-01-31,0022400685,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,PHX,West,Pacific,Yes,Yes
2025-02-01,0022400693,8:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,MIA,East,Southeast,No,No
2025-02-01,0022400692,8:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,LAL,West,Pacific,No,No
2025-02-01,0022400691,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,SAC,West,Pacific,No,Yes
2025-02-01,0022400690,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,WAS,East,Southeast,No,No
2025-02-01,0022400694,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,PHX,West,Pacific,No,Yes
2025-02-01,0022400688,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,DEN,West,Northwest,No,No
2025-02-01,0022400687,5:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,ORL,East,Southeast,No,No
2025-02-01,0022400686,5:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,ATL,East,Southeast,No,Yes
2025-02-01,0022400689,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,BKN,East,Atlantic,No,No
2025-02-02,0022400695,3:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,CHI,East,Central,Yes,Yes
2025-02-02,0022400696,3:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,DAL,West,Southwest,No,No
2025-02-02,0022400697,3:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,LAC,West,Pacific,No,No
2025-02-02,0022400698,6:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,BOS,East,Atlantic,Yes,Yes
2025-02-02,0022400699,8:30 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,MEM,West,Southwest,No,No
2025-02-03,0022400709,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,PHX,West,Pacific,No,Yes
2025-02-03,0022400708,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,ORL,East,Southeast,No,No
2025-02-03,0022400707,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,IND,East,Central,No,No
2025-02-03,0022400706,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,NOP,West,Southwest,No,Yes
2025-02-03,0022400705,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,MIL,East,Central,No,No
2025-02-03,0022400701,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,ATL,East,Southeast,No,Yes
2025-02-03,0022400703,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,SAS,West,Southwest,Yes,Yes
2025-02-03,0022400702,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,HOU,West,Southwest,No,No
2025-02-03,0022400700,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,WAS,East,Southeast,Yes,Yes
2025-02-03,0022400704,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,SAC,West,Pacific,No,Yes
2025-02-04,0022400714,8:00 pm ET,United Center,Chicago,CHI,East,Central,MIA,East,Southeast,No,Yes
2025-02-04,0022400715,10:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,LAL,West,Pacific,Yes,Yes
2025-02-04,0022400716,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,IND,East,Central,No,No
2025-02-04,0022400713,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,NYK,East,Atlantic,Yes,Yes
2025-02-04,0022400710,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,BOS,East,Atlantic,No,Yes
2025-02-04,0022400711,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,HOU,West,Southwest,No,No
2025-02-04,0022400712,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,DAL,West,Southwest,No,No
2025-02-05,0022400717,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,MIL,East,Central,No,Yes
2025-02-05,0022400718,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,CLE,East,Central,Yes,Yes
2025-02-05,0022400719,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,SAS,West,Southwest,No,No
2025-02-05,0022400720,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,WAS,East,Southeast,No,Yes
2025-02-05,0022400721,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,MIA,East,Southeast,No,Yes
2025-02-05,0022400722,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,MEM,West,Southwest,No,No
2025-02-05,0022400723,8:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,CHI,East,Central,No,No
2025-02-05,0022400724,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,PHX,West,Pacific,No,Yes
2025-02-05,0022400725,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,GSW,West,Pacific,No,Yes
2025-02-05,0022400726,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,NOP,West,Southwest,No,Yes
2025-02-05,0022400727,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,ORL,East,Southeast,No,No
2025-02-06,0022400733,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,IND,East,Central,No,No
